SE,TC,Measurement,Measure,Min,Max,Average,StandardDeviation,PopulationVariance,Variance,Median,TrimmedMean (20%),WinshorizedMean (20%),GeometricMean,MAD,MADN,AverageConsumption,MeadianConsumption,AverageConsumption without baseline,MeadianConsumption without baseline
client,-product4close,4,Time (s),1581.0,549239.0,547.658,138193.25,412565.5,158327.236,2.5043456470281E10,2.5067513585046E10,275371.0,275375.564,275654.5,205068.715,137054.5,203194.218,1042.0,547.658,0.0,547.658,275371.0,547.658,275371.0
client,-product4close,4,HDD,0.42,5.04,1.05,0.42,1.27,0.59,0.34,0.34,1.02,0.97,1.14,0.9,0.4,0.59,172075.0,575.04,558.61,0.01,-0.02,5.48,-5507.42
client,-product4close,4,GraphicsCard,2.95,21.9,9.64,8.51,10.68,1.75,3.06,3.06,9.56,9.57,9.65,9.48,1.07,1.59,172075.0,5279.42,5235.61,-0.63,-0.71,-345.02,-195513.41
client,-product4close,4,Processor,1.19,166.55,16.06,5.35,29.74,17.95,322.13,322.13,6.54,12.85,25.28,9.74,1.79,2.65,172075.0,8795.39,3581.68,10.86,1.34,5947.57,368997.14
client,-product4close,4,Monitor,6267.77,6282.15,6269.97,6269.16,6270.29,1.39,1.93,1.94,6269.76,6269.76,6270.1,6269.97,0.56,0.83,1042.0,3433799.23,3433684.22,62.56,62.35,34261.48,1.716938185E7
client,-product4close,4,DUT,139.25,231.44,171.6,158.0,184.46,16.53,273.02,273.28,165.72,170.11,174.62,170.84,10.54,15.63,1042.0,93978.11,90757.88,41.07,35.19,22492.31,9690305.49
client,-product4close,5,Time (s),1583.0,542972.0,541.389,136637.0,407887.75,156521.197,2.4475099870376E10,2.4498885195809E10,272257.0,272259.66,272519.5,202772.348,135494.0,200880.652,1030.0,541.389,0.0,541.389,272257.0,541.389,272257.0
client,-product4close,5,HDD,0.42,5.49,1.05,0.42,1.27,0.59,0.34,0.34,1.02,0.97,1.14,0.9,0.4,0.59,170111.0,568.46,552.22,0.01,-0.02,5.41,-5445.14
client,-product4close,5,GraphicsCard,2.61,22.04,9.68,8.51,10.76,1.74,3.04,3.04,9.63,9.61,9.75,9.53,1.12,1.66,170111.0,5240.65,5213.58,-0.59,-0.64,-319.42,-174244.48
client,-product4close,5,Processor,1.19,164.17,16.06,5.35,30.34,17.85,318.7,318.7,6.54,12.88,25.28,9.77,1.79,2.65,170111.0,8694.71,3540.68,10.86,1.34,5879.48,364824.38
